id,"nombre","nombrecorrecto",idip,"nombreviejo",idp,year,"foto","link","bloque","region","distrito",idprov
1,"ABDALA, Josefina","ABDALA, Josefina",2,NULL,0.606968283653259,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","UNION CIVICA RADICAL","CUYO","MENDOZA",50
2,"ACCASTELLO, Eduardo","ACCASTELLO, Eduardo",3,NULL,-1.24707078933716,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","ALIANZA UNION POR Cordoba","CENTRO","CORDOBA",14
3,"ACUNA, Hugo Rodolfo","ACUÑA, Hugo Rodolfo",6,NULL,0.372191727161407,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","MOVIMIENTO POPULAR NEUQUINO","CUYO","NEUQUEN",58
4,"ACUNA KUNZ, Juan Erwin","ACUÑA KUNZ, Juan Erwin",5,"ACUÑA KUNZ, Juan",0.58191853761673,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","UNION CIVICA RADICAL","SUR","SANTA CRUZ",78
5,"AGUAD, Oscar Raul","AGUAD, Oscar Raul",8,NULL,0.712893545627594,2006,"oaguad_medium.jpg","http://s6.postimage.org/hrznomgql/oaguad_medium.jpg","UNION CIVICA RADICAL","CENTRO","CORDOBA",14
6,"AGUERO, Elda Susana","AGUERO, Elda Susana",9,NULL,-1.1258739233017,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
7,"ALARCON, Maria del Carmen","ALARCON, María del Carmen",12,NULL,0.0818300768733025,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","MOVIMIENTO PAMPA SUR","CENTRO","SANTA FE",82
8,"ALCHOURON, Guillermo Eduardo","ALCHOURON, Guillermo Eduardo",16,NULL,0.402221322059631,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","ACCION POR LA REPUBLICA","BUENOS AIRES","BUENOS AIRES",6
9,"ALONSO, Gumersindo Federico","ALONSO, Gumersindo Federico",21,NULL,-0.463433533906937,2006,"galonso_medium.jpg","http://s6.postimage.org/xw7tt8z0d/galonso_medium.jpg","FRENTE CIVICO - CORDOBA","CENTRO","CORDOBA",14
10,"ALVAREZ, Juan Jose","ALVAREZ, Juan José",27,NULL,0.307318150997162,2006,"jjalvarez.jpg","http://s6.postimage.org/s7ek5nbr5/jjalvarez.jpg","FRENTE PERONISTA","BUENOS AIRES","BUENOS AIRES",6
11,"ALVAREZ RODRIGUEZ, Cristina","ALVAREZ RODRIGUEZ, Cristina",24,NULL,-1.59408831596375,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
12,"ARGÜELLO, Jorge","ARGÜELLO, Jorge",38,NULL,-1.77560710906982,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","CABA","CIUDAD de BUENOS AIRES",2
13,"ARNOLD, Eduardo Ariel","ARNOLD, Eduardo Ariel",40,NULL,-0.138156488537788,2006,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","SUR","SANTA CRUZ",78
